               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.051592,           0.0071002,             0.07471,             0.33994,             0.58304,             0.33425,            0.081562,            0.048558,           0.0056826,             0.07478,           0.0034827,           0.0034827,            0.067583
                  36,            0.054086,           0.0085575,             0.07482,             0.50927,             0.63604,             0.51809,             0.24049,             0.04153,            0.005997,            0.074593,           0.0035734,           0.0035734,            0.066673
                  37,            0.046411,           0.0078404,            0.074679,             0.51542,              0.5689,             0.50258,             0.11356,            0.042331,           0.0058675,            0.074517,           0.0036636,           0.0036636,            0.065764
                  38,             0.04747,           0.0079999,            0.074585,             0.56395,             0.67845,             0.55592,             0.23664,            0.039905,           0.0058382,            0.074466,           0.0037532,           0.0037532,            0.064853
                  39,            0.046757,           0.0077471,            0.074605,             0.56908,             0.61598,             0.54874,             0.27311,            0.039285,           0.0058827,            0.074453,           0.0038423,           0.0038423,            0.063942
                  40,             0.04998,           0.0082144,             0.07453,             0.50471,             0.65018,             0.52556,             0.23678,            0.036955,           0.0059912,            0.074456,           0.0039309,           0.0039309,            0.063031
                  41,             0.04623,           0.0078265,            0.074527,              0.4626,             0.72085,             0.52123,              0.1961,            0.045455,           0.0057345,            0.074457,           0.0040189,           0.0040189,            0.062119
                  42,            0.046587,           0.0077063,            0.074591,             0.44834,             0.77032,             0.53881,             0.22134,            0.039584,           0.0058375,            0.074437,           0.0041063,           0.0041063,            0.061206
                  43,            0.048719,           0.0079582,             0.07449,             0.48758,             0.69258,             0.50991,              0.1945,            0.044158,           0.0056338,            0.074401,           0.0041931,           0.0041931,            0.060293
                  44,            0.046782,           0.0077936,            0.074515,             0.46498,             0.67845,             0.44446,             0.19518,            0.037982,           0.0058958,            0.074406,           0.0042793,           0.0042793,            0.059379
                  45,            0.042272,            0.007162,            0.074458,              0.4454,             0.70318,             0.44352,             0.22719,            0.036562,           0.0058906,             0.07444,           0.0043649,           0.0043649,            0.058465
